Idx  Marker                     n_tokens     mean      std   median       p5      p25      p75      p95      min      max
------------------------------------------------------------------------------------------------------------------------
0    Hoechst                     816,640   0.1047   0.1389   0.0276   0.0000   0.0035   0.1759   0.3997   0.0000   0.9745
1    CD164                       816,640   0.1362   0.1338   0.1015   0.0000   0.0210   0.2187   0.3939   0.0000   1.0000
2    FOXP3                       816,640   0.0599   0.1142   0.0258   0.0000   0.0000   0.0645   0.2565   0.0000   1.0000
3    GATA3                       816,640   0.1479   0.1512   0.0838   0.0000   0.0597   0.1809   0.4904   0.0000   1.0000
4    MUC-1                       816,640   0.2049   0.1586   0.1726   0.0000   0.1018   0.2653   0.5139   0.0000   1.0000
5    p53                         816,640   0.2432   0.1707   0.2397   0.0000   0.1072   0.3543   0.5401   0.0000   1.0000
6    Vimentin                    816,640   0.1148   0.1392   0.0579   0.0000   0.0062   0.1798   0.4038   0.0000   0.9947
7    T-bet                       816,640   0.2786   0.1865   0.2698   0.0000   0.1499   0.3778   0.6213   0.0000   1.0000
8    Cytokeratin                 816,640   0.0168   0.0715   0.0000   0.0000   0.0000   0.0000   0.1111   0.0000   1.0000
9    PD-L1                       816,640   0.1954   0.1722   0.1423   0.0000   0.0648   0.2804   0.5521   0.0000   1.0000
10   Ki-67                       816,640   0.0152   0.0617   0.0000   0.0000   0.0000   0.0000   0.0869   0.0000   0.9877
11   CD15                        816,640   0.0011   0.0162   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.8446
12   CD30                        816,640   0.1828   0.1628   0.1262   0.0000   0.0584   0.2762   0.5116   0.0000   1.0000
13   CD2                         816,640   0.1659   0.1608   0.1023   0.0000   0.0716   0.2010   0.5382   0.0000   1.0000
14   GranzymeB                   816,640   0.0020   0.0196   0.0000   0.0000   0.0000   0.0000   0.0018   0.0000   0.9783
15   CD5                         816,640   0.1756   0.1751   0.1111   0.0000   0.0294   0.2901   0.5178   0.0000   0.9966
16   MMP-9                       816,640   0.1783   0.1292   0.1558   0.0000   0.1031   0.2437   0.4237   0.0000   1.0000
17   CD4                         816,640   0.1259   0.1595   0.0549   0.0000   0.0185   0.1825   0.4844   0.0000   0.9895
18   LAG-3                       816,640   0.2371   0.1625   0.1948   0.0000   0.1178   0.3294   0.5508   0.0000   1.0000
19   CD25                        816,640   0.1567   0.1590   0.1095   0.0000   0.0284   0.2425   0.4743   0.0000   1.0000
20   CD56                        816,640   0.2104   0.1701   0.1895   0.0000   0.0565   0.3196   0.5234   0.0000   1.0000
21   CD20                        816,640   0.0084   0.0427   0.0000   0.0000   0.0000   0.0000   0.0312   0.0000   0.9214
22   PD-1                        816,640   0.1765   0.1671   0.1158   0.0000   0.0876   0.2235   0.5403   0.0000   1.0000
23   CD11c                       816,640   0.0614   0.1111   0.0141   0.0000   0.0000   0.0741   0.2879   0.0000   1.0000
24   CD162                       816,640   0.0386   0.0888   0.0000   0.0000   0.0000   0.0290   0.2246   0.0000   0.9802
25   CD16                        816,640   0.1260   0.1520   0.0767   0.0000   0.0215   0.1684   0.4572   0.0000   1.0000
26   CD11b                       816,640   0.1534   0.1496   0.1225   0.0000   0.0267   0.2317   0.4483   0.0000   0.9990
27   CD194                       816,640   0.1364   0.1550   0.0734   0.0000   0.0065   0.2296   0.4475   0.0000   0.9943
28   IDO-1                       816,640   0.2208   0.1642   0.1858   0.0000   0.0957   0.3073   0.5393   0.0000   1.0000
29   EGFR                        816,640   0.1726   0.1663   0.1373   0.0000   0.0512   0.2359   0.5291   0.0000   1.0000
30   VISTA                       816,640   0.1769   0.1600   0.1262   0.0000   0.0465   0.2702   0.4966   0.0000   1.0000
31   HLA-DR                      816,640   0.0595   0.1133   0.0065   0.0000   0.0000   0.0657   0.3022   0.0000   0.9952
32   ICOS                        816,640   0.2061   0.1744   0.1554   0.0000   0.0678   0.3003   0.5591   0.0000   1.0000
33   BCL-2                       816,640   0.0901   0.1323   0.0385   0.0000   0.0000   0.1208   0.3830   0.0000   0.9999
34   CD3                         816,640   0.1019   0.1600   0.0230   0.0000   0.0141   0.1153   0.4811   0.0000   0.9602
35   CD69                        816,640   0.2211   0.1742   0.1969   0.0000   0.0788   0.3340   0.5405   0.0000   1.0000
36   CD8                         816,640   0.0385   0.0978   0.0038   0.0000   0.0000   0.0267   0.2345   0.0000   0.9898
37   CD7                         816,640   0.0659   0.1215   0.0214   0.0000   0.0000   0.0576   0.3440   0.0000   0.9976
38   CD45RA                      816,640   0.0327   0.0842   0.0000   0.0000   0.0000   0.0253   0.1876   0.0000   0.9949
39   CD45                        816,640   0.0600   0.1134   0.0010   0.0000   0.0000   0.0670   0.3215   0.0000   0.9812
40   CD1a                        816,640   0.2126   0.1628   0.1415   0.0000   0.1335   0.2583   0.5679   0.0000   1.0000
41   CD57                        816,640   0.1044   0.1395   0.0522   0.0000   0.0000   0.1542   0.3999   0.0000   1.0000
42   B-catenin                   816,640   0.1510   0.1746   0.0900   0.0000   0.0426   0.1708   0.5827   0.0000   1.0000
43   CD45RO                      816,640   0.1152   0.1548   0.0466   0.0000   0.0236   0.1429   0.4741   0.0000   1.0000
44   CD71                        816,640   0.1703   0.1591   0.1366   0.0000   0.0477   0.2422   0.4924   0.0000   1.0000
45   CD34                        816,640   0.0550   0.1147   0.0038   0.0000   0.0000   0.0540   0.2883   0.0000   0.9960
46   CD68                        816,640   0.0777   0.1196   0.0363   0.0000   0.0000   0.0957   0.3341   0.0000   1.0000
47   CD38                        816,640   0.1656   0.1586   0.1364   0.0000   0.0186   0.2660   0.4612   0.0000   1.0000
48   Collagen-IV                 816,640   0.0712   0.1264   0.0326   0.0000   0.0029   0.0695   0.3311   0.0000   1.0000
49   CD31                        816,640   0.0092   0.0441   0.0000   0.0000   0.0000   0.0000   0.0348   0.0000   0.8623
50   Podoplanin                  816,640   0.1235   0.1460   0.0916   0.0000   0.0026   0.1731   0.4204   0.0000   1.0000
51   CD138                       816,640   0.0262   0.0848   0.0000   0.0000   0.0000   0.0002   0.2121   0.0000   0.9039
52   CD163                       816,640   0.0491   0.0963   0.0030   0.0000   0.0000   0.0493   0.2605   0.0000   0.9580
53   Mast-cell-tryptase          816,640   0.0066   0.0403   0.0000   0.0000   0.0000   0.0000   0.0218   0.0000   0.9992
54   MMP-12                      816,640   0.1666   0.1687   0.1007   0.0000   0.0304   0.2714   0.5046   0.0000   0.9997
