Idx  Marker               n_tokens     mean      std   median       p5      p25      p75      p95      min      max
----------------------------------------------------------------------------------------------------------------
0    CD163               1,509,120   0.0764   0.0951   0.0396   0.0024   0.0183   0.0962   0.2746   0.0000   0.9768
1    CD20                1,509,120   0.1616   0.1574   0.1175   0.0052   0.0275   0.2529   0.4816   0.0000   0.8480
2    CD3                 1,509,120   0.0397   0.0685   0.0148   0.0010   0.0068   0.0394   0.1676   0.0000   0.8633
3    CD4                 1,509,120   0.0816   0.0936   0.0521   0.0029   0.0248   0.1007   0.2698   0.0000   0.9808
4    CD56                1,509,120   0.1539   0.1170   0.1208   0.0201   0.0752   0.1991   0.3973   0.0000   0.9128
5    CD68                1,509,120   0.1067   0.1039   0.0744   0.0089   0.0402   0.1357   0.3230   0.0000   1.0000
6    CD8                 1,509,120   0.1292   0.1199   0.0918   0.0105   0.0475   0.1673   0.3897   0.0000   0.9198
7    CK                  1,509,120   0.1363   0.1374   0.0734   0.0057   0.0265   0.2331   0.4026   0.0000   0.8956
8    FoxP3               1,509,120   0.1192   0.0877   0.0991   0.0157   0.0543   0.1639   0.2895   0.0000   1.0000
9    Granzyme_B          1,509,120   0.1090   0.1034   0.0817   0.0085   0.0346   0.1501   0.3011   0.0000   1.0000
10   PD-1                1,509,120   0.1325   0.1129   0.0992   0.0174   0.0558   0.1733   0.3660   0.0000   0.9687
11   PD-L1               1,509,120   0.1202   0.0968   0.0978   0.0119   0.0517   0.1624   0.3065   0.0000   1.0000
