marker,n_tokens,mean,std,median,p5,p25,p75,p95,p99,min,max
Hoechst,816640,0.0767119750380516,0.09208164364099503,0.03614877164363861,0.001172101765405387,0.006939882528968155,0.12168665789067745,0.2687189534306525,0.37705951184034336,0.0,0.7862496376037598
CD44,816640,0.0928519144654274,0.07650228589773178,0.0738556981086731,0.01116924108937383,0.036745259538292885,0.12732912227511406,0.23992532715201376,0.3523036703467368,0.0,1.0
FOXP3,816640,0.10518050938844681,0.08315853774547577,0.08465270698070526,0.01320622554048896,0.04629843030124903,0.14214791730046272,0.2650050774216651,0.3832553640007971,0.0,0.9996221661567688
CDX2,816640,0.14657123386859894,0.10288640856742859,0.12405503541231155,0.02758173244073987,0.07347532361745834,0.19271211326122284,0.34661151617765423,0.4972008636593817,0.0,1.0
CD8,816640,0.030175520107150078,0.055483102798461914,0.0100436145439744,0.0005098004505271092,0.0034820374567061663,0.02827897248789668,0.13955818042159074,0.2795403692126273,0.0,0.9252068400382996
p53,816640,0.09770560264587402,0.08650228381156921,0.07603751122951508,0.0035963181755505505,0.028496059123426676,0.14602693170309067,0.26023081392049774,0.3673061689734456,0.0,0.9999677538871765
GATA3,816640,0.10250009596347809,0.07176783680915833,0.08210757374763489,0.02825755001977086,0.05007622390985489,0.1363079734146595,0.2410129241645335,0.34242336571216564,0.0,0.9997049570083618
CD45,816640,0.020947499200701714,0.04358699545264244,0.002353052608668804,0.0,0.00010200517135672271,0.018939259462058544,0.11238241009414192,0.2135584011673927,0.0,0.9472023248672485
T-bet,816640,0.13622623682022095,0.10196762531995773,0.1149253249168396,0.014636589540168644,0.05637511983513832,0.19307391718029976,0.33177093416452397,0.44701638370752317,0.0,0.9462575316429138
beta-catenin,816640,0.17934642732143402,0.1292254626750946,0.15862318873405457,0.0137411801610142,0.07695489935576916,0.2578366845846176,0.42120016664266574,0.5485617905855178,0.0,1.0
HLA-DR,816640,0.015635136514902115,0.032845135778188705,0.0029094137717038393,0.0,7.882492900534999e-05,0.01572269992902875,0.07592529952526085,0.1567593863606451,0.0,0.9459759593009949
PD-L1,816640,0.08089422434568405,0.07371530681848526,0.06153002381324768,0.0024359046947211036,0.0282858326099813,0.11332727409899235,0.22099266275763502,0.33526520252227765,0.0,1.0
Ki67,816640,0.022036749869585037,0.04955722391605377,0.007317394018173218,0.0011563653417397293,0.00335692276712507,0.021454448346048594,0.07574592828750602,0.2674640405178069,0.0,0.9999749064445496
CD45RA,816640,0.05782946199178696,0.06768057495355606,0.034076277166604996,0.0014192794042173773,0.01105086412280798,0.08007433824241161,0.19426774382591247,0.3073358550667761,0.0,0.9993852376937866
