marker,n_tokens,mean,std,median,p5,p25,p75,p95,p99,min,max
Hoechst,763136,0.07696650922298431,0.093312568962574,0.03440461307764053,0.0011151200742460787,0.00779822317417711,0.12027836591005325,0.2727894186973572,0.38435983806848534,0.0,0.9999986886978149
CD44,763136,0.11583791673183441,0.098881296813488,0.09105068445205688,0.008797027869150043,0.03998160641640425,0.16475290805101395,0.30843690037727356,0.44108510911464693,0.0,0.9979367256164551
FOXP3,763136,0.13641439378261566,0.10060260444879532,0.11535748839378357,0.01737684290856123,0.06103078555315733,0.18835626915097237,0.3273935690522194,0.4504209578037263,0.0,1.0
CDX2,763136,0.1466239094734192,0.11601535230875015,0.11767762154340744,0.019407265819609165,0.05968496762216091,0.20029491558670998,0.3797532469034195,0.5252049267292023,0.0,1.0
CD8,763136,0.06742895394563675,0.0785437747836113,0.04277972877025604,0.001675144158070907,0.01618762966245413,0.0878087654709816,0.2255871817469597,0.37609207779169107,0.0,0.9793960452079773
p53,763136,0.1348947137594223,0.10714767873287201,0.11197669804096222,0.009065755875781178,0.048356751911342144,0.19812308624386787,0.3370441421866417,0.4558056324720389,0.0,1.0
GATA3,763136,0.12672345340251923,0.06284456700086594,0.11593136936426163,0.045268069952726364,0.08582393452525139,0.15448006987571716,0.24540846794843674,0.33450277596712125,0.0,1.0
CD45,763136,0.029209880158305168,0.05462678149342537,0.007182552479207516,0.0,0.0005588064232142642,0.031175021082162857,0.13967840746045113,0.27306212335824975,0.0,0.8453049063682556
T-bet,763136,0.17346176505088806,0.11816680431365967,0.15296539664268494,0.023080728948116302,0.08016091398894787,0.24465927481651306,0.3984602391719818,0.5057462960481649,0.0,1.0
beta-catenin,763136,0.21082313358783722,0.1416974812746048,0.1897740364074707,0.0202478994615376,0.1007352564483881,0.2958322986960411,0.4845898523926735,0.5973534256219867,0.0,0.9797528386116028
HLA-DR,763136,0.02128884196281433,0.04346754401922226,0.003300589742138982,0.0,0.0,0.02253337949514389,0.10124963521957397,0.20773189663887032,0.0,0.9483419060707092
PD-L1,763136,0.08711139857769012,0.08743167668581009,0.06407719105482101,0.0009652644221205264,0.022094387095421553,0.12348684668540955,0.25753768533468246,0.3959085896611219,0.0,1.0
Ki67,763136,0.022419914603233337,0.052087437361478806,0.0065296124666929245,0.0006173641158966348,0.0028142795199528337,0.018386972602456808,0.0833137109875679,0.2787132695317272,0.0,0.9706840515136719
CD45RA,763136,0.07038257271051407,0.08009888231754303,0.04350470006465912,0.00022229892420000397,0.011607430642470717,0.10235460847616196,0.22996661067008972,0.3604514494538309,0.0,0.9990341663360596
CD4,763136,0.0823359563946724,0.08280797302722931,0.05948006361722946,0.0013251770287752151,0.022187162656337023,0.11557344533503056,0.2451668083667755,0.3804521918296815,0.0,1.0
CD21,763136,0.15838025510311127,0.06854171305894852,0.15437309443950653,0.054380424320697784,0.12080366909503937,0.18597840145230293,0.2780950590968132,0.3946247234940535,0.0,0.9973281621932983
MUC-1,763136,0.02654966339468956,0.05935275927186012,0.0031605607364326715,0.0,1.6384670743718743e-05,0.02360076690092683,0.13630341365933418,0.3026058107614522,0.0,0.9830740094184875
CD30,763136,0.08703254908323288,0.08079327642917633,0.06708532571792603,0.0006887074414407834,0.022944248747080564,0.12905921787023544,0.24427250400185585,0.34631990492343906,0.0,1.0
CD2,763136,0.16392281651496887,0.07085053622722626,0.15815369784832,0.06117555312812328,0.11748162843286991,0.19973742589354515,0.2893638461828232,0.3821484759449963,0.0,0.9714886546134949
Vimentin,763136,0.06056385859847069,0.07536450028419495,0.033404432237148285,0.0003103107155766338,0.009647028055042028,0.08301036432385445,0.21366788819432259,0.34939929693937305,0.0,0.9998100399971008
CD20,763136,0.010885304771363735,0.031937018036842346,4.143668047618121e-05,0.0,0.0,0.004471764317713678,0.0637887492775917,0.16301486417651181,0.0,0.9933254718780518
LAG-3,763136,0.161955326795578,0.0702114924788475,0.1521829068660736,0.0657574012875557,0.11575504019856453,0.19670306146144867,0.2921736463904381,0.37554722130298646,0.0,0.9913263916969299
Na-K-ATPase,763136,0.024625251069664955,0.051197536289691925,0.0033504576422274113,0.0,2.6631610694494157e-06,0.024549795780330896,0.12410985492169857,0.25534878522157684,0.0,0.7969927787780762
CD5,763136,0.13033892214298248,0.11619768291711807,0.09760944545269012,0.005266297142952681,0.040379238314926624,0.18832888081669807,0.3672516569495201,0.4933926299214364,0.0,1.0
IDO-1,763136,0.20482029020786285,0.10551700741052628,0.196001335978508,0.05387293454259634,0.1267782635986805,0.26951951533555984,0.3916667625308037,0.4906501010060312,0.0,0.9978603720664978
Cytokeratin,763136,0.013019383884966373,0.03922301158308983,1.3780425433651544e-05,0.0,0.0,0.0036922081490047276,0.08240745402872562,0.20313063561916356,0.0,0.9486191272735596
CD11b,763136,0.11984734237194061,0.10853803157806396,0.08961880207061768,0.005278354045003653,0.037118224427103996,0.17318016663193703,0.3353331461548805,0.4768336057662964,0.0,0.999958872795105
CD56,763136,0.15912367403507233,0.11004537343978882,0.1369466781616211,0.027349725365638733,0.077828424051404,0.2144552432000637,0.3713860288262367,0.513187700510025,0.0,0.9774627089500427
aSMA,763136,0.04415394365787506,0.08107711374759674,0.006708250846713781,0.0,0.0004195408764644526,0.04880297929048538,0.22325392439961433,0.37476514130830824,0.0,0.9645736217498779
BCL-2,763136,0.05946395546197891,0.07500690966844559,0.03275545686483383,0.0,0.006574823404662311,0.08644831739366055,0.20540254190564156,0.3458599209785466,0.0,1.0
CD25,763136,0.14871004223823547,0.09380320459604263,0.131597101688385,0.02937903581187129,0.08228697814047337,0.19591381028294563,0.3224523365497589,0.44858287125825896,0.0,1.0
Collagen IV,763136,0.03182695806026459,0.059221021831035614,0.00743685569614172,0.0,0.00012294192129047588,0.036739910021424294,0.14728038385510445,0.29146885424852437,0.0,0.9671725630760193
CD11c,763136,0.10446363687515259,0.09541353583335876,0.08511723577976227,2.7819955903396476e-05,0.02403021790087223,0.15894652158021927,0.28340423107147217,0.39326625317335134,0.0,1.0
PD-1,763136,0.19850975275039673,0.09780065715312958,0.1848347783088684,0.059416922740638256,0.12979580834507942,0.2545565292239189,0.3786521703004837,0.4768469497561455,0.0,0.9276526570320129
Granzyme B,763136,0.007085581310093403,0.027162762358784676,0.0,0.0,0.0,0.0010291271610185504,0.04019358288496733,0.14127449691295624,0.0,0.9827907085418701
EGFR,763136,0.1677490472793579,0.12519881129264832,0.1442147046327591,0.011625700630247593,0.06849133037030697,0.24103589355945587,0.4098280593752861,0.5279649138450626,0.0,1.0
VISTA,763136,0.13071222603321075,0.09645454585552216,0.10787957161664963,0.02114922972396016,0.0609845332801342,0.1747719757258892,0.3193146213889122,0.4535801246762282,0.0,0.9555315971374512
CD15,763136,0.010382742621004581,0.03498666733503342,2.7177025913260877e-05,0.0,0.0,0.0026969247846864164,0.062202608212828636,0.17938811853528036,0.0,0.9256476759910583
CD194,763136,0.1014217659831047,0.10494620352983475,0.0659581869840622,0.0014534297224599868,0.022389892023056746,0.14920484647154808,0.31711848825216293,0.4514352992177012,0.0,0.9081631302833557
ICOS,763136,0.08239653706550598,0.05149060860276222,0.07509080320596695,0.016264614649116993,0.04980879835784435,0.1042266171425581,0.17153699696063995,0.2538542687892916,0.0,0.9834659099578857
MMP9,763136,0.024789482355117798,0.04999421909451485,0.0014027503784745932,0.0,0.0,0.02606544829905033,0.1311015598475933,0.2323231615126138,0.0,0.9055240154266357
Synaptophysin,763136,0.03491346538066864,0.07023285329341888,0.004263833165168762,0.0,9.819650949793868e-05,0.03326650336384773,0.19252490252256393,0.32273226231336627,0.0,0.9964444041252136
CD71,763136,0.16319680213928223,0.11929649114608765,0.1400674283504486,0.009801644831895828,0.07702325098216534,0.22823401913046837,0.3877855911850929,0.5319729804992677,0.0,1.0
GFAP,763136,0.06950479000806808,0.08272747695446014,0.04020718112587929,0.0,0.006325367838144302,0.10528719983994961,0.2368280477821827,0.35873322784900696,0.0,1.0
CD7,763136,0.02022492326796055,0.044389575719833374,0.0021991801913827658,0.0,0.0,0.01965461252257228,0.09964567050337791,0.22493122145533576,0.0,0.9999951720237732
CD3,763136,0.06562473624944687,0.07730671763420105,0.04047694802284241,0.006529650301672518,0.021781160030514002,0.07530933432281017,0.22076332196593285,0.39692823439836517,0.0,0.9690983295440674
Chromogranin A,763136,0.019440311938524246,0.043411798775196075,0.0004546631535049528,0.0,0.0,0.017413892317563295,0.10754205100238323,0.2094794340431692,0.0,0.8434506058692932
CD163,763136,0.03132098913192749,0.06327906996011734,0.007848578505218029,0.0,0.0012387707247398794,0.026167369913309813,0.16340183466672897,0.3199635431170467,0.0,0.9926329851150513
CD57,763136,0.11681073158979416,0.05721171572804451,0.10985380411148071,0.0376070411875844,0.08183744922280312,0.14321376755833626,0.2159193493425846,0.2996083244681359,0.0,0.9899062514305115
CD45RO,763136,0.07464557141065598,0.08594117313623428,0.04547463357448578,2.1943250771983003e-06,0.012305174022912979,0.10809328593313694,0.2467162162065506,0.3861574381589893,0.0,1.0
CD68,763136,0.04928337037563324,0.0734763890504837,0.024796918034553528,0.0018983616610057652,0.009279109770432115,0.05593596678227186,0.18754351139068604,0.3731571644544604,0.0,1.0
CD31,763136,0.010745014064013958,0.0339202880859375,0.0004679600824601948,0.0,0.0,0.006126761669293046,0.05439541023224592,0.17827436551451695,0.0,0.7244526743888855
Podoplanin,763136,0.07727723568677902,0.08329767733812332,0.0506347119808197,0.00469928071834147,0.023043934255838394,0.10146261192858219,0.24332774430513382,0.3992423266172409,0.0,0.9840902090072632
CD34,763136,0.04298648610711098,0.07220428436994553,0.017637263983488083,0.0,0.001750543829984963,0.05399320647120476,0.16620413586497307,0.3765905857086186,0.0,0.9983228445053101
CD38,763136,0.11109717935323715,0.09276413917541504,0.08817902207374573,0.012494995957240462,0.04193435423076153,0.15620125085115433,0.2803565561771393,0.4294759005308152,0.0,0.9995661973953247
CD138,763136,0.017235348001122475,0.03981039673089981,0.0006265368429012597,0.0,0.0,0.014130311785265803,0.09340200386941433,0.19757905229926118,0.0,0.9821906089782715
MMP12,763136,0.0869436264038086,0.056439101696014404,0.0766221433877945,0.018197326455265284,0.04913201183080673,0.11005578562617302,0.19511787965893745,0.2846642807126047,0.0,0.9331097602844238
