marker,n_tokens,mean,std,median,p5,p25,p75,p95,p99,min,max
Hoechst,797440,0.12733501195907593,0.11180061846971512,0.09394536912441254,0.0107896376401186,0.03368978016078472,0.1993720643222332,0.3420441254973409,0.45346037268638606,0.0,0.9673223495483398
CD79a,797440,0.04869207367300987,0.07290352135896683,0.020794717594981194,0.00021236217435216534,0.0058767435839399695,0.06605273857712746,0.17493082731962195,0.3236541303992271,0.0,1.0
FOXP3,797440,0.09904195368289948,0.09665172547101974,0.07187562435865402,0.002568802097812295,0.026477137114852667,0.1452363096177578,0.27754527777433396,0.4167316856980317,0.0,1.0
CDX2,797440,0.1142100989818573,0.09682885557413101,0.08860370516777039,0.009941524639725686,0.037746429443359375,0.16959932446479797,0.2929047346115111,0.4218010920286178,0.0,0.9984774589538574
CD8,797440,0.08049698173999786,0.09119514375925064,0.05027112364768982,0.0024086994118988517,0.01841919356957078,0.11088144406676292,0.25664747506380065,0.40192638039588924,0.0,1.0
p53,797440,0.13404437899589539,0.10533613711595535,0.10958194732666016,0.00902940183877945,0.05014116410166025,0.19968809559941292,0.32613254487514487,0.43633761942386595,0.0,1.0
GATA3,797440,0.1371888667345047,0.07069960981607437,0.12855088710784912,0.03737746272236109,0.09058426693081856,0.1726345233619213,0.2621281340718269,0.3597435048222541,0.0,1.0
CD21,797440,0.08253885805606842,0.09443392604589462,0.05628640204668045,0.0009028300584759566,0.019396863412111998,0.11678237281739712,0.23704539611935602,0.4322203770279878,0.0,1.0
PD-L1,797440,0.10308197885751724,0.09565716236829758,0.0803484171628952,0.0019165611185599123,0.03307453356683254,0.14723889902234077,0.2742590978741645,0.4304069739580153,0.0,1.0
Ki67,797440,0.029546629637479782,0.06212499737739563,0.007456133142113686,0.0003649564154329714,0.003378617810085416,0.02621222333982587,0.14158310517668718,0.31989271223545074,0.0,1.0
CD45,797440,0.03193790093064308,0.06300631165504456,0.0052365027368068695,0.0,0.00026559739490039647,0.03316633403301239,0.15868182331323608,0.2905644145607948,0.0,0.9941943287849426
CD30,797440,0.09292889386415482,0.08160798251628876,0.07436510920524597,0.00534533562604338,0.03478261083364487,0.1304631158709526,0.2342811055481433,0.37228423744440037,0.0,1.0
PAX5,797440,0.24207177758216858,0.14113056659698486,0.24790962040424347,0.026355692744255067,0.12019789777696133,0.3516841158270836,0.4649817109107971,0.5428083139657974,0.0,1.0
HLA-DR,797440,0.027242714539170265,0.06000968813896179,0.004857931286096573,0.0,0.00011628230095084291,0.02742748847231269,0.12566621601581557,0.27134091615676825,0.0,1.0
CD5,797440,0.14364908635616302,0.11318915337324142,0.11900364607572556,0.009031624300405387,0.053782389499247074,0.21154478937387466,0.3508510082960128,0.47132583290338514,0.0,1.0
CD2,797440,0.17763115465641022,0.08537175506353378,0.17186978459358215,0.049405107647180556,0.11749167554080486,0.2277599237859249,0.3275650888681411,0.42122962832450833,0.0,0.999706506729126
CD45RA,797440,0.08689027279615402,0.09067597985267639,0.0606224499642849,0.001480422035092488,0.02234577015042305,0.12467909790575504,0.2517134174704551,0.3926722273230552,0.0,1.0
CD4,797440,0.11636446416378021,0.10386020690202713,0.08937469124794006,0.005462262895889582,0.0391966812312603,0.16465796530246735,0.3193500250577925,0.44771506577730147,0.0,1.0
PD-1,797440,0.19201484322547913,0.10245048999786377,0.18485626578330994,0.043932983092963694,0.11014413274824619,0.26336514204740524,0.36659738272428505,0.4471596840023993,0.0,0.986921489238739
MUC-1,797440,0.028690015897154808,0.06745222210884094,0.0031887581571936607,0.0,1.9246160263719503e-05,0.024021032266318798,0.14821286574006082,0.3280167099833487,0.0,1.0
BCL2,797440,0.0880877897143364,0.0959276482462883,0.0567036010324955,7.371444953605539e-05,0.015541366068646312,0.1310678906738758,0.2763642832636833,0.40769428938627184,0.0,1.0
CD56,797440,0.1545812487602234,0.10023624449968338,0.14231085777282715,0.023969273455441,0.07667959295213223,0.21247725188732147,0.3362223073840141,0.4614850968122482,0.0,0.9999718070030212
Cytokeratin 7,797440,0.02270624414086342,0.06126713752746582,0.001189976348541677,0.0,0.0,0.014372056815773249,0.12319423221051683,0.28689743191003797,0.0,1.0
CD25,797440,0.14560329914093018,0.1166624054312706,0.12274567782878876,0.006888025579974056,0.049365853890776634,0.21689659357070923,0.3642096370458603,0.47970030963420857,0.0,0.9999720454216003
VISTA,797440,0.1378917545080185,0.094404436647892,0.12715721130371094,0.012648444250226022,0.06240815296769142,0.1958204098045826,0.3026016592979428,0.41682760566473,0.0,0.999995231628418
Hep-Par-1,797440,0.08615965396165848,0.09355401992797852,0.06229355186223984,0.0008151490852469587,0.022217716556042433,0.12290873005986214,0.23760782033205008,0.42865185946226053,0.0,1.0
CD11c,797440,0.06052931398153305,0.07519161701202393,0.037162162363529205,0.0,0.009292217902839184,0.08461328223347664,0.19730777814984304,0.3409441173076623,0.0,1.0
IRF4,797440,0.19645939767360687,0.10996969044208527,0.1919468641281128,0.039248638227581976,0.10940414480865002,0.26770826429128647,0.38448636233806593,0.49019361346960044,0.0,0.9998214840888977
CD20,797440,0.016010606661438942,0.05173242837190628,0.0,0.0,0.0,0.006046746042557061,0.09090178348124027,0.22573412999510725,0.0,1.0
EGFR,797440,0.15530243515968323,0.12375237047672272,0.12598419189453125,0.008644901309162378,0.05356959439814091,0.23643290624022484,0.3809042975306509,0.4934210762381553,0.0,0.9999837875366211
IDO-1,797440,0.22685405611991882,0.11053194105625153,0.22931276261806488,0.056502764113247395,0.13830875977873802,0.3066873624920845,0.4028998523950576,0.4825253492593765,0.0,0.999932050704956
Granzyme B,797440,0.020624397322535515,0.056659769266843796,0.0013798234285786748,0.0,0.0,0.014879127033054829,0.10429851561784728,0.24862241312861424,0.0,1.0
Melan A,797440,0.14074888825416565,0.1173582375049591,0.10934752225875854,0.007090993830934167,0.04774995055049658,0.20872553810477257,0.36510289311408994,0.47675869464874254,0.0,1.0
OX-40,797440,0.1863384246826172,0.13405200839042664,0.18077310919761658,0.01331111672334373,0.05669676512479782,0.28925783932209015,0.40938131660222965,0.506754429936409,0.0,0.9109237790107727
Vimentin,797440,0.05567087605595589,0.07245097309350967,0.030384056270122528,0.00031912617414491266,0.008874806109815836,0.07657572254538536,0.18918283060193058,0.3324533581733701,0.0,0.9971176385879517
Synaptophysin,797440,0.034669045358896255,0.07549681514501572,0.0025940383784472942,0.0,0.0,0.029474038630723953,0.1906343474984169,0.36656575202941893,0.0,0.987456202507019
CD117 (c-kit),797440,0.15700557827949524,0.09524819254875183,0.1499207317829132,0.027080622967332605,0.07698625884950161,0.22020946443080902,0.3214352980256079,0.41569418728351587,0.0,0.9941632151603699
Na-K-ATPase,797440,0.03941536322236061,0.07217931002378464,0.011229028925299644,0.0,0.0008701768529135734,0.04768229462206364,0.16419471129775032,0.34744901031255676,0.0,1.0
CD194,797440,0.12175214290618896,0.1045740395784378,0.09845161437988281,0.0048352563986554745,0.033012669533491135,0.18550023436546326,0.3212062165141105,0.4266386747360229,0.0,0.9780835509300232
