marker,n_tokens,mean,std,median,p5,p25,p75,p95,p99,min,max
Hoechst,317184,0.17179235816001892,0.11587351560592651,0.17615750432014465,0.018355713784694673,0.053030239418148994,0.2589261159300804,0.35779005885124193,0.4492699882388115,4.726854240288958e-05,0.9309446215629578
CD79a,317184,0.05086149647831917,0.07286396622657776,0.022089742124080658,0.0007581259880680595,0.00693000596947968,0.0650429055094719,0.1985865749418733,0.34903606176376334,0.0,0.9282033443450928
FoxP3,317184,0.012268055230379105,0.032291390001773834,0.0010825161589309573,0.0,2.292142107762629e-05,0.009865852305665612,0.061688964441418595,0.14704348132014247,0.0,0.9157630205154419
GATA3,317184,0.11612545698881149,0.06252686679363251,0.10290597379207611,0.0380735207349062,0.07228417135775089,0.14811253920197487,0.23570076972246162,0.31013229548931076,0.0,0.9031460285186768
CD8,317184,0.0273696668446064,0.05411337688565254,0.004679037723690271,0.0,0.00029654716490767896,0.0320715606212616,0.12767574936151493,0.26760079890489546,0.0,0.845166027545929
p53,317184,0.15517666935920715,0.09386243671178818,0.14443840086460114,0.021109616756439215,0.083068972453475,0.21525108069181442,0.3260183274745941,0.39954603046178777,0.0,0.9968348741531372
PAX5,317184,0.25415274500846863,0.1126747876405716,0.25460314750671387,0.07006531544029714,0.17441174015402794,0.32811638712882996,0.4434063658118247,0.529996971487999,0.0,0.9745839238166809
CD21,317184,0.010942296124994755,0.02076690085232258,0.0034090387634932995,0.0,0.00034723109274636954,0.011409832164645195,0.05328722596168512,0.09647248215973353,0.0,0.8758857250213623
PD-L1,317184,0.036273807287216187,0.060861218720674515,0.011463630944490433,6.147787025838625e-05,0.0021418898249976337,0.041518013924360275,0.16323919519782057,0.2814922967553133,0.0,0.9958710074424744
Ki-67,317184,0.018048260360956192,0.050366636365652084,0.003486496629193425,0.0006286270188866184,0.0019479320326354355,0.007463720510713756,0.10063872486352887,0.24354387819766965,0.0,1.0
CD45,317184,0.05155901238322258,0.0641678124666214,0.027939829975366592,0.0,0.002941369020845741,0.0761195607483387,0.18624621927738175,0.2813122135400772,0.0,0.6191369891166687
CD30,317184,0.05683594569563866,0.06014923378825188,0.03877663612365723,0.0002598536550067365,0.012096373131498694,0.08317716419696808,0.17212368249893178,0.26398927450180015,0.0,0.9951773881912231
CD2,317184,0.12755456566810608,0.07976794242858887,0.1147967055439949,0.029838526342064145,0.06598873063921928,0.1678319200873375,0.28214872926473616,0.3724720308184619,0.0,0.9356990456581116
HLA-DR,317184,0.011433415114879608,0.03387971222400665,0.00010626742732711136,0.0,0.0,0.004357670433819294,0.07114075273275364,0.16445620432496058,0.0,0.9346458911895752
CD5,317184,0.14682359993457794,0.1048271581530571,0.12826800346374512,0.008117186976596717,0.0644195731729269,0.2130313478410244,0.34606617987155897,0.4250278124213217,0.0,0.9853856563568115
PD-1,317184,0.17068719863891602,0.08574269711971283,0.1595754772424698,0.04790561199188233,0.11102240160107613,0.21929773315787315,0.32435676902532573,0.42713068515062314,0.0,0.9076892137527466
CD45RA,317184,0.07229936867952347,0.08176528662443161,0.04293552041053772,9.34458606934642e-05,0.007785228546708822,0.11241956055164337,0.23426416888833035,0.34338716834783534,0.0,0.7254025936126709
CD4,317184,0.09832385927438736,0.08979735523462296,0.07141709327697754,0.0027380378451198357,0.02775499550625682,0.14858291298151016,0.2724311247467994,0.37332586973905557,0.0,0.9897555708885193
CD56,317184,0.15544074773788452,0.08604726940393448,0.1455034464597702,0.03859177120029927,0.09560045227408409,0.2020288035273552,0.29996337294578546,0.4340215432643887,0.0,0.99605792760849
MUC-1/EMA,317184,0.012128605507314205,0.04394154250621796,0.0,0.0,0.0,0.0005351532163331285,0.09262288138270361,0.21963767647743165,0.0,0.8445707559585571
BCL-2,317184,0.07940708100795746,0.08773443102836609,0.04566700756549835,3.219812497263775e-05,0.007935857400298119,0.13027599826455116,0.25457537472248054,0.3445593848824501,0.0,0.9662065505981445
LAG3,317184,0.1524435579776764,0.07012166827917099,0.14568854868412018,0.05037432201206684,0.1091168224811554,0.1876199096441269,0.2713162392377853,0.3701252612471579,0.0,0.9865679144859314
CD71,317184,0.013059154152870178,0.05109049752354622,0.0,0.0,0.0,0.0,0.09420495666563482,0.27939799696207007,0.0,0.7408597469329834
CD25,317184,0.17724452912807465,0.10987821966409683,0.1601370871067047,0.030261347908526658,0.0972716324031353,0.23892715573310852,0.37583602219820017,0.5277531856298446,0.0,0.9790074825286865
VISTA,317184,0.14073717594146729,0.09097130596637726,0.12367329001426697,0.026742902770638465,0.07223544642329216,0.19134914129972458,0.3088883325457573,0.42854333013296086,0.0,0.9708836674690247
CD11c,317184,0.010993209667503834,0.04692307859659195,0.0,0.0,0.0,4.141903445997741e-05,0.0647123374044895,0.2357460959255694,0.0,0.8200346231460571
EGFR,317184,0.18072868883609772,0.10947227478027344,0.16627588868141174,0.02434529457241297,0.09584760665893555,0.2575882449746132,0.3715337425470352,0.46482201606035217,0.0,0.9957801699638367
CD1a,317184,0.19311726093292236,0.07577408105134964,0.19266995787620544,0.07268632836639881,0.14402266591787338,0.23797637596726418,0.3161434292793273,0.3971697187423703,0.0,0.9241899847984314
Na-K-ATPase,317184,0.024831971153616905,0.05760716274380684,0.0015561330365017056,0.0,2.0768425557093906e-07,0.017219217028468847,0.14386360272765142,0.27279171586036666,0.0,0.806029200553894
CD44,317184,0.1548151820898056,0.0911707803606987,0.14940983057022095,0.02224470302462578,0.08707802928984165,0.20885413512587547,0.31503925025463103,0.41389204919338185,0.0,0.9212761521339417
IDO-1,317184,0.24127355217933655,0.09270308166742325,0.2399132251739502,0.08515319637954236,0.1891968473792076,0.29022084176540375,0.3959135770797727,0.5021594667434687,0.0,0.9761815667152405
CD38,317184,0.0360017828643322,0.060494985431432724,0.009989457204937935,0.0,0.000593320160987787,0.04679364897310734,0.14951090067625042,0.2906729832291602,0.0,0.9378409385681152
CD16,317184,0.11264807730913162,0.10516276955604553,0.08169183135032654,0.004315412999130785,0.03268899116665125,0.16350411251187325,0.3174066856503486,0.46715180158615033,0.0,0.9900708794593811
IRF4,317184,0.19806461036205292,0.09966092556715012,0.1821010410785675,0.05752301830798388,0.13235804811120033,0.2544761672616005,0.3789407014846801,0.5127579933404921,0.0,0.9538635611534119
CD20,317184,0.013005790300667286,0.047636233270168304,0.0,0.0,0.0,0.002818010514602065,0.07033241353929036,0.2465874178707593,0.0,0.8111874461174011
CD7,317184,0.07122696191072464,0.08507983386516571,0.034832485020160675,0.000562997497036122,0.009783299174159765,0.10725226067006588,0.24931518584489812,0.34833868145942637,0.0,0.9125779867172241
CD3,317184,0.09110546857118607,0.09582152962684631,0.04554588720202446,0.008703217701986433,0.02101420843973756,0.14153028279542923,0.2868093013763427,0.3893976354598998,0.0,0.9795008301734924
Granzyme B,317184,0.011188269592821598,0.052130844444036484,0.0,0.0,0.0,3.0080389024078613e-06,0.06029428802430547,0.2662247321009628,0.0,0.913593590259552
CCR4/CD194,317184,0.11884621530771255,0.0844782218337059,0.10808296501636505,0.008433817652985454,0.05164609011262655,0.16974139213562012,0.2704753562808035,0.36811223834753026,0.0,0.9915751218795776
CD57,317184,0.12538458406925201,0.08068794012069702,0.10841123014688492,0.02653085626661778,0.06758406572043896,0.1693837195634842,0.2695964783430099,0.37859199404716476,0.0,0.9924147725105286
Vimentin,317184,0.03881850838661194,0.059871550649404526,0.015163925476372242,0.0,0.00228510785382241,0.049685319885611534,0.15769167616963387,0.2876541689038276,0.0,0.7726961970329285
CD68,317184,0.007325721438974142,0.024087922647595406,3.18071324727498e-05,0.0,0.0,0.0034498750464990735,0.03908291272819039,0.11295775189995744,0.0,0.7259066104888916
ICOS,317184,0.12167784571647644,0.07625553756952286,0.10642658174037933,0.026669484656304126,0.0685039572417736,0.15906988084316254,0.2644063726067542,0.370909819900989,0.0,0.8549069762229919
Cytokeratin,317184,0.013660787604749203,0.05441194400191307,0.0,0.0,0.0,0.0,0.11203819997608647,0.2661602199077602,0.0,0.9766643047332764
CD34,317184,0.033320825546979904,0.06618430465459824,0.0021359026432037354,0.0,4.1433539081481285e-05,0.033538070507347584,0.17203704118728624,0.31270894408225974,0.0,0.9216302633285522
CD163,317184,0.03688118979334831,0.06328003853559494,0.015979629009962082,0.003250375483185053,0.008803918259218335,0.034051937982439995,0.15330151766538616,0.3325302937626833,0.0,0.912697434425354
SMA,317184,0.014869121834635735,0.05113890767097473,0.0,0.0,0.0,6.0227610447327606e-05,0.12414691895246492,0.24242564648389647,0.0,0.9844346046447754
CD45RO,317184,0.08280003815889359,0.08631844818592072,0.05463903769850731,0.0007848936249502004,0.01615963503718376,0.12295111082494259,0.25902651548385613,0.36696231395006174,0.0,0.9725211262702942
CD11b,317184,0.14443214237689972,0.09150829166173935,0.13351929187774658,0.027372414339333774,0.07846824266016483,0.18921135365962982,0.30288944542407986,0.45165208756923614,3.1381696317112073e-06,0.9956243634223938
Collagen IV,317184,0.015113596804440022,0.052340444177389145,0.0,0.0,0.0,0.000864137036842294,0.12028151229023933,0.26015212386846537,0.0,0.8758850693702698
CD31,317184,0.01448614802211523,0.04652712494134903,0.00022699637338519096,0.0,3.299116883681563e-06,0.0035110391909256577,0.08859525062143801,0.2508921769261353,0.0,0.9463575482368469
CD134/Ox40,317184,0.2021220624446869,0.11643724888563156,0.20725895464420319,0.02540389131754637,0.10344594158232212,0.28794462978839874,0.38725960850715635,0.46459395408630283,0.0,0.9782240986824036
CD15,317184,0.00896973256021738,0.037044260650873184,0.0,0.0,0.0,0.00018839795302483253,0.05797065533697578,0.19613133385777462,0.0,0.8083524703979492
