Idx  Marker                   n_tokens     mean      std   median       p5      p25      p75      p95      min      max
----------------------------------------------------------------------------------------------------------------
0    aSMA                    2,739,200   0.0625   0.1086   0.0279   0.0012   0.0101   0.0601   0.2717   0.0000   1.0000
1    ATPase                    764,928   0.0888   0.1397   0.0282   0.0027   0.0084   0.0980   0.4213   0.0003   0.9663
2    CD3                     2,739,200   0.0404   0.0969   0.0107   0.0004   0.0037   0.0269   0.2186   0.0000   0.9996
3    CD4                     2,739,200   0.1111   0.1179   0.0734   0.0074   0.0331   0.1472   0.3519   0.0000   1.0000
4    CD8                     2,739,200   0.0493   0.0948   0.0236   0.0055   0.0117   0.0442   0.1802   0.0000   1.0000
5    CD11c                   2,739,200   0.0352   0.0841   0.0032   0.0000   0.0002   0.0291   0.1871   0.0000   0.9993
6    CD20                    2,739,200   0.1202   0.1071   0.1007   0.0036   0.0283   0.1830   0.3086   0.0000   1.0000
7    CD31                    2,739,200   0.0705   0.1065   0.0376   0.0021   0.0128   0.0759   0.2801   0.0000   1.0000
8    CD45                      764,928   0.0838   0.1208   0.0389   0.0055   0.0154   0.0938   0.3382   0.0025   0.9952
9    CD45RA                  1,974,272   0.0210   0.0744   0.0001   0.0000   0.0000   0.0069   0.1126   0.0000   1.0000
10   CD68                    2,739,200   0.0455   0.0983   0.0106   0.0005   0.0033   0.0359   0.2298   0.0000   1.0000
11   FOXP3                     764,928   0.0745   0.0801   0.0532   0.0305   0.0403   0.0784   0.1697   0.0022   1.0000
12   HLA-DR                  2,739,200   0.0645   0.1085   0.0188   0.0000   0.0011   0.0754   0.2994   0.0000   1.0000
13   Isotype                   764,928   0.1706   0.0820   0.1512   0.0797   0.1152   0.2064   0.3171   0.0444   1.0000
14   KI67                    2,739,200   0.0209   0.0715   0.0002   0.0000   0.0000   0.0159   0.0858   0.0000   1.0000
15   PanCK                   2,739,200   0.1591   0.1518   0.1207   0.0032   0.0199   0.2628   0.4374   0.0000   1.0000
16   PD1                     2,739,200   0.0752   0.0692   0.0591   0.0075   0.0352   0.0953   0.1879   0.0000   1.0000
17   PDL1                    2,739,200   0.0949   0.0973   0.0662   0.0105   0.0350   0.1194   0.2775   0.0000   1.0000
